Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",146.500000,-86.000000,0.000000,bottom
"C2","10uF","C_0805_2012Metric",146.500000,-89.000000,0.000000,bottom
